시도명,시군구명,동명,and_nm,비례의원수,지방명,광역의원선거구명,기초의원선거구명,기초의원선출수
서울특별시,종로구,청운효자동,서울특별시 종로구 청운효자동,2,종로구,제1선거구,가선거구,2
서울특별시,종로구,사직동,서울특별시 종로구 사직동,2,종로구,제1선거구,가선거구,2
서울특별시,종로구,무악동,서울특별시 종로구 무악동,2,종로구,제1선거구,가선거구,2
서울특별시,종로구,교남동,서울특별시 종로구 교남동,2,종로구,제1선거구,가선거구,2
서울특별시,종로구,삼청동,서울특별시 종로구 삼청동,2,종로구,제1선거구,나선거구,2
서울특별시,종로구,부암동,서울특별시 종로구 부암동,2,종로구,제1선거구,나선거구,2
서울특별시,종로구,평창동,서울특별시 종로구 평창동,2,종로구,제1선거구,나선거구,2
서울특별시,종로구,가회동,서울특별시 종로구 가회동,2,종로구,제1선거구,나선거구,2
서울특별시,종로구,종로1·2·3·4가동,서울특별시 종로구 종로1·2·3·4가동,2,종로구,제2선거구,다선거구,2
서울특별시,종로구,이화동,서울특별시 종로구 이화동,2,종로구,제2선거구,다선거구,2
서울특별시,종로구,혜화동,서울특별시 종로구 혜화동,2,종로구,제2선거구,다선거구,2
서울특별시,종로구,종로5·6가동,서울특별시 종로구 종로5·6가동,2,종로구,제2선거구,라선거구,3
서울특별시,종로구,창신1동,서울특별시 종로구 창신1동,2,종로구,제2선거구,라선거구,3
서울특별시,종로구,창신2동,서울특별시 종로구 창신2동,2,종로구,제2선거구,라선거구,3
서울특별시,종로구,창신3동,서울특별시 종로구 창신3동,2,종로구,제2선거구,라선거구,3
서울특별시,종로구,숭인1동,서울특별시 종로구 숭인1동,2,종로구,제2선거구,라선거구,3
서울특별시,종로구,숭인2동,서울특별시 종로구 숭인2동,2,종로구,제2선거구,라선거구,3
서울특별시,중구,소공동,서울특별시 중구 소공동,1,중구,제1선거구,가선거구,2
서울특별시,중구,명동,서울특별시 중구 명동,1,중구,제1선거구,가선거구,2
서울특별시,중구,광희동,서울특별시 중구 광희동,1,중구,제1선거구,가선거구,2
서울특별시,중구,을지로동,서울특별시 중구 을지로동,1,중구,제1선거구,가선거구,2
서울특별시,중구,신당동,서울특별시 중구 신당동,1,중구,제1선거구,가선거구,2
서울특별시,중구,중림동,서울특별시 중구 중림동,1,중구,제1선거구,가선거구,2
서울특별시,중구,신당5동,서울특별시 중구 신당5동,1,중구,제1선거구,나선거구,2
서울특별시,중구,동화동,서울특별시 중구 동화동,1,중구,제1선거구,나선거구,2
서울특별시,중구,황학동,서울특별시 중구 황학동,1,중구,제1선거구,나선거구,2
서울특별시,중구,회현동,서울특별시 중구 회현동,1,중구,제2선거구,다선거구,2
